ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV,M_POV,E_UNEMP,M_UNEMP,E_PCI,M_PCI,E_NOHSDP,M_NOHSDP,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_MINRTY,M_MINRTY,E_LIMENG,M_LIMENG,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV,MP_POV,EP_UNEMP,MP_UNEMP,EP_PCI,MP_PCI,EP_NOHSDP,MP_NOHSDP,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_MINRTY,MP_MINRTY,EP_LIMENG,MP_LIMENG,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,M_UNINSUR,EP_UNINSUR,MP_UNINSUR,E_DAYPOP
55,WISCONSIN,WI,55009,Brown,55009021100,"Census Tract 211, Brown County, Wisconsin",0.081121574608,1105,193,0,9,0,9,0,9,0,9,42,28,301,86,25,22,0,9,0,9,0,12,785,223,21,41,0,12,0,9,0,12,0,9,1105,193,-999.0,-999.0,-999.0,-999.0,42.0,28.0,33.4,9.9,2.3,2.0,0.0,0.8,-999.0,-999.0,0.0,-999.0,71.0,15.9,1.9,3.7,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,100.0,0.0,-999.0,-999.0,1.0,0.9777,-999.0,-999.0,0.0079,0.0,-999.0,0.0,-999.0,-999.0,0.9116,0.7865,1.6981,0.8922,0.0,-999.0,0.0,-999.0,1.0,-999.0,-999.0,-999.0,-999.0,-999,-999,1,1,-999,0,0,-999,0,-999,1,0,1,0,-999,0,-999,1,-999,-999,0,9,-999.0,-999.0,1608
55,WISCONSIN,WI,55025,Dane,55025991702,"Census Tract 9917.02, Dane County, Wisconsin",0.0,0,9,0,9,0,9,0,9,0,9,-999,-999,0,9,0,9,0,9,0,9,0,12,0,12,0,36,0,12,0,9,0,12,0,9,0,9,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,9,-999.0,-999.0,193
55,WISCONSIN,WI,55025,Dane,55025991703,"Census Tract 9917.03, Dane County, Wisconsin",0.0,0,9,0,9,0,9,0,9,0,9,-999,-999,0,9,0,9,0,9,0,9,0,12,0,12,0,36,0,12,0,9,0,12,0,9,0,9,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,9,-999.0,-999.0,167
55,WISCONSIN,WI,55079,Milwaukee,55079980000,"Census Tract 9800, Milwaukee County, Wisconsin",0.782443038938,0,9,0,9,0,9,0,9,0,9,-999,-999,0,9,0,9,0,9,0,9,0,12,0,12,0,36,0,12,0,9,0,12,0,9,0,9,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,9,-999.0,-999.0,986
55,WISCONSIN,WI,55089,Ozaukee,55089990000,"Census Tract 9900, Ozaukee County, Wisconsin",0.0,0,9,0,9,0,9,0,9,0,9,-999,-999,0,9,0,9,0,9,0,9,0,12,0,12,0,36,0,12,0,9,0,12,0,9,0,9,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,9,-999.0,-999.0,25
55,WISCONSIN,WI,55133,Waukesha,55133203406,"Census Tract 2034.06, Waukesha County, Wisconsin",19.181775932384,7151,304,2541,127,2527,125,81,85,58,55,49745,4985,93,72,928,99,1717,130,568,204,63,43,416,470,0,48,0,17,0,12,0,17,6,10,0,12,1.1,1.2,1.4,1.3,49745.0,4985.0,1.9,1.4,13.0,1.5,24.0,1.5,7.9,2.8,2.5,1.7,5.8,6.6,0.0,0.7,0.0,0.7,0.0,0.7,0.0,0.7,0.2,0.4,0.0,0.2,0.0058,0.0647,0.0453,0.0561,0.1719,0.0014,0.2868,0.66,0.1281,0.0568,1.1317,0.064,0.2552,0.0,0.2552,0.0827,0.0,0.0,0.0,0.0201,0.0,0.0201,0.0022,1.5789,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,116,2.5,1.6,3156
55,WISCONSIN,WI,55015,Calumet,55015020700,"Census Tract 207, Calumet County, Wisconsin",1.49943676955,4615,207,1452,82,1421,87,42,50,20,21,37976,2558,11,18,348,58,1462,107,267,86,61,39,288,334,0,36,0,12,0,9,0,12,0,9,0,9,0.9,1.1,0.8,0.8,37976.0,2558.0,0.4,0.6,7.5,1.1,31.7,1.8,5.8,1.8,4.3,2.7,6.2,7.2,0.0,0.8,0.0,0.9,0.0,1.2,0.0,0.9,0.0,1.2,0.0,0.2,0.0022,0.0245,0.1912,0.0043,0.2222,0.0086,0.087,0.9267,0.0338,0.1833,1.2308,0.0863,0.2804,0.0,0.2804,0.1006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7334,0.0007,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,30,25,0.7,0.5,1645
55,WISCONSIN,WI,55133,Waukesha,55133201505,"Census Tract 2015.05, Waukesha County, Wisconsin",2.405773762656,2906,155,1093,50,1093,50,26,30,58,42,42522,3288,51,36,510,36,579,89,187,92,30,27,116,224,0,36,0,12,0,9,0,12,0,9,0,9,0.9,1.0,3.3,2.4,42522.0,3288.0,2.4,1.7,17.5,1.1,19.9,2.9,6.4,3.1,2.7,2.5,4.0,7.7,0.0,1.3,0.0,1.2,0.0,1.6,0.0,1.2,0.0,1.6,0.0,0.3,0.0022,0.4338,0.1143,0.0863,0.6366,0.082,0.5988,0.3077,0.0525,0.0669,1.0259,0.0496,0.1308,0.0,0.1308,0.0403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7933,0.0014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,14,0.3,0.5,4483
55,WISCONSIN,WI,55025,Dane,55025010200,"Census Tract 102, Dane County, Wisconsin",0.698988249944,1358,62,590,21,555,30,10,9,14,9,103244,12634,20,15,320,31,281,33,91,28,6,7,101,99,3,35,0,12,0,9,0,12,4,5,0,9,0.7,0.6,1.9,1.2,103244.0,12634.0,1.9,1.4,23.6,1.9,20.7,2.2,6.7,2.1,1.1,1.3,7.4,7.3,0.2,2.7,0.0,2.2,0.0,2.9,0.0,2.3,0.7,1.0,0.0,0.7,0.0014,0.1453,0.0007,0.0561,0.2035,0.005,0.9008,0.3638,0.064,0.0187,1.3473,0.1194,0.348,0.248,0.596,0.2861,0.0,0.0,0.0,0.0482,0.0,0.0482,0.0029,2.195,0.0022,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,8,7,0.6,0.5,422
55,WISCONSIN,WI,55087,Outagamie,55087012503,"Census Tract 125.03, Outagamie County, Wisconsin",2.058022888214,3717,174,1211,48,1178,59,47,43,42,27,60601,8715,14,23,338,37,1219,94,196,68,42,38,227,261,0,36,10,17,0,9,9,17,7,10,0,9,1.3,1.1,2.2,1.4,60601.0,8715.0,0.6,1.0,9.1,0.9,32.8,2.0,5.3,1.8,3.6,3.2,6.1,7.0,0.0,1.0,0.8,1.4,0.0,1.4,0.8,1.5,0.6,0.8,0.0,0.2,0.0094,0.1957,0.0187,0.0086,0.2324,0.0094,0.1287,0.9403,0.0259,0.1265,1.2214,0.0827,0.2768,0.0,0.2768,0.0985,0.1884,0.0,0.3278,0.0396,0.0,0.5558,0.0187,2.2864,0.0029,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,46,38,1.2,1.0,1494
