ST,STATE,ST_ABBR,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV,M_POV,E_UNEMP,M_UNEMP,E_PCI,M_PCI,E_NOHSDP,M_NOHSDP,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_MINRTY,M_MINRTY,E_LIMENG,M_LIMENG,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV,MP_POV,EP_UNEMP,MP_UNEMP,EP_PCI,MP_PCI,EP_NOHSDP,MP_NOHSDP,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_MINRTY,MP_MINRTY,EP_LIMENG,MP_LIMENG,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,M_UNINSUR,EP_UNINSUR,MP_UNINSUR,E_DAYPOP
55,WISCONSIN,WI,Washington,55131,"Washington County, Wisconsin",430.6435719,134535,0,56328,114,54138,364,6465,737,2187,327,37631,867,4939,419,22636,106,30283,15,13664,687,3814,342,9375,108,634,189,4796,400,647,132,339,103,2063,288,1003,140,4.8,0.6,2.9,0.4,37631.0,867.0,5.2,0.4,16.8,0.1,22.5,0.0,10.2,0.5,7.0,0.6,7.0,0.1,0.5,0.1,8.5,0.7,1.1,0.2,0.6,0.2,3.8,0.5,0.7,0.1,0.0141,0.169,0.0423,0.0845,0.3099,0.0563,0.3239,0.6901,0.0704,0.3521,1.4365,0.1268,0.4225,0.3099,0.7324,0.3803,0.8028,0.0563,0.0,0.169,0.0141,1.0422,0.0423,3.521,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5427,619,4.1,0.5,114769
55,WISCONSIN,WI,Ozaukee,55089,"Ozaukee County, Wisconsin",233.016735,88284,0,37216,171,35625,370,4679,736,1443,254,47980,1924,2202,274,16411,93,19128,14,7317,549,2114,315,7328,37,373,135,3405,386,145,62,308,96,1242,253,1526,393,5.4,0.8,3.0,0.5,47980.0,1924.0,3.6,0.4,18.6,0.1,21.7,0.0,8.3,0.6,5.9,0.9,8.3,0.0,0.4,0.2,9.1,1.0,0.4,0.2,0.9,0.3,3.5,0.7,1.7,0.4,0.0423,0.2394,0.0,0.0,0.2817,0.0282,0.5352,0.5211,0.0,0.0563,1.1126,0.0704,0.493,0.2676,0.7606,0.4225,0.831,0.0,0.0282,0.0704,0.4366,1.3662,0.0986,3.5211,0.0141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2958,496,3.4,0.6,82069
55,WISCONSIN,WI,St. Croix,55109,"St. Croix County, Wisconsin",722.4436603,87917,0,35471,108,33674,322,3874,554,1203,193,37419,846,2185,289,11411,71,22424,0,7486,585,2688,294,5213,47,448,134,2239,276,970,140,362,112,1003,171,845,156,4.5,0.6,2.4,0.4,37419.0,846.0,3.7,0.5,13.0,0.1,25.5,0.0,8.6,0.7,8.0,0.9,5.9,0.1,0.5,0.2,6.3,0.8,2.7,0.4,1.1,0.3,3.0,0.5,1.0,0.2,0.0,0.0704,0.0563,0.0141,0.1408,0.0,0.0423,0.9577,0.0282,0.6338,1.662,0.2676,0.3239,0.3099,0.6338,0.2113,0.6338,0.1831,0.169,0.0,0.1268,1.1127,0.0563,3.5493,0.0282,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,3786,527,4.3,0.6,69866
55,WISCONSIN,WI,Iowa,55049,"Iowa County, Wisconsin",762.6981325,23620,0,10864,58,9835,135,1806,277,416,124,33674,1308,839,111,4088,23,5473,15,2867,238,683,115,1086,56,97,62,302,77,479,65,100,38,369,112,223,69,7.7,1.2,3.2,1.0,33674.0,1308.0,5.1,0.7,17.3,0.1,23.2,0.1,12.2,1.0,6.9,1.2,4.6,0.2,0.4,0.3,2.8,0.7,4.4,0.6,1.0,0.4,3.8,1.1,0.9,0.3,0.0986,0.338,0.0986,0.0563,0.5915,0.0704,0.3803,0.7887,0.4085,0.2958,1.8733,0.4366,0.0986,0.2676,0.3662,0.1268,0.2535,0.3239,0.0845,0.169,0.0704,0.9013,0.0141,3.7323,0.0423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1022,206,4.4,0.9,20297
55,WISCONSIN,WI,Calumet,55015,"Calumet County, Wisconsin",318.2798177,49807,0,20485,97,19567,204,2826,391,622,200,34015,953,2034,230,6933,44,12266,20,4453,355,1475,203,4436,89,352,171,985,196,428,74,227,73,659,137,233,49,5.7,0.8,2.2,0.7,34015.0,953.0,6.0,0.7,13.9,0.1,24.6,0.0,9.0,0.7,7.5,1.0,8.9,0.2,0.7,0.4,4.8,1.0,2.1,0.4,1.2,0.4,3.4,0.7,0.5,0.1,0.0563,0.0141,0.0845,0.1268,0.2817,0.0282,0.0845,0.9014,0.0423,0.493,1.5212,0.1831,0.5634,0.493,1.0564,0.5915,0.493,0.1268,0.2113,0.0563,0.0,0.8874,0.0,3.7467,0.0563,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1495,284,3.0,0.6,34411
55,WISCONSIN,WI,Oneida,55085,"Oneida County, Wisconsin",1113.9371115,35345,0,30914,112,15403,337,2981,343,495,101,32784,1335,1906,235,8837,66,6094,0,4881,278,703,125,1759,8,49,63,723,147,1987,187,87,34,568,117,606,175,8.6,1.0,2.9,0.6,32784.0,1335.0,7.1,0.9,25.0,0.2,17.2,0.0,14.0,0.8,4.6,0.8,5.0,0.0,0.1,0.2,2.3,0.5,6.4,0.6,0.6,0.2,3.7,0.7,1.7,0.5,0.1549,0.169,0.1408,0.3099,0.7746,0.1268,0.9014,0.0704,0.6479,0.0,1.6197,0.2394,0.169,0.0141,0.1831,0.0423,0.169,0.6479,0.0,0.1268,0.4366,1.3803,0.1127,3.9577,0.0704,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1592,271,4.6,0.8,35177
55,WISCONSIN,WI,Waukesha,55133,"Waukesha County, Wisconsin",549.7201326,398879,0,164619,232,157548,708,19190,1307,6401,541,44301,544,10862,708,69991,36,87575,19,38130,1034,8251,555,44649,81,2575,388,19808,713,691,150,1594,267,5910,476,5148,402,4.9,0.3,2.9,0.2,44301.0,544.0,3.9,0.3,17.5,0.1,22.0,0.0,9.6,0.3,5.2,0.4,11.2,0.0,0.7,0.1,12.0,0.4,0.4,0.1,1.0,0.2,3.8,0.3,1.3,0.1,0.0282,0.169,0.0141,0.0282,0.2395,0.0141,0.4225,0.6338,0.0563,0.0423,1.1549,0.0845,0.7606,0.493,1.2536,0.7183,0.9577,0.0,0.0845,0.169,0.2394,1.4506,0.1549,4.0986,0.0845,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,11362,980,2.9,0.2,424727
55,WISCONSIN,WI,Buffalo,55011,"Buffalo County, Wisconsin",675.7890279,13167,0,6736,128,5713,166,1224,168,144,36,29613,830,795,108,2788,15,2727,11,1484,130,382,75,541,4,110,64,233,80,391,58,49,19,283,77,109,63,9.4,1.3,2.1,0.5,29613.0,830.0,8.3,1.1,21.2,0.1,20.7,0.1,11.3,1.0,6.7,1.3,4.1,0.0,0.9,0.5,3.5,1.2,5.8,0.8,0.9,0.3,5.0,1.3,0.8,0.5,0.2535,0.0,0.4507,0.4789,1.1831,0.1972,0.7042,0.3662,0.2113,0.2254,1.5071,0.169,0.0563,0.6761,0.7324,0.3803,0.3662,0.5493,0.0282,0.3662,0.0423,1.3522,0.0845,4.7748,0.0986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,701,98,5.4,0.8,10392
55,WISCONSIN,WI,Green,55045,"Green County, Wisconsin",584.0428517,36864,0,15976,56,15098,186,2768,338,448,91,31959,750,1946,229,6468,27,8317,0,4361,290,1276,175,2053,9,200,105,690,128,669,118,156,57,616,115,411,52,7.6,0.9,2.2,0.4,31959.0,750.0,7.5,0.9,17.5,0.1,22.6,0.0,11.9,0.8,8.5,1.2,5.6,0.0,0.6,0.3,4.3,0.8,4.2,0.7,1.0,0.4,4.1,0.8,1.1,0.1,0.0704,0.0141,0.1831,0.3803,0.6479,0.1127,0.4225,0.7183,0.3099,0.7746,2.2253,0.6338,0.2394,0.4225,0.6619,0.2535,0.4648,0.3099,0.0845,0.2394,0.169,1.2676,0.0704,4.8027,0.1127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1489,229,4.1,0.6,31658
55,WISCONSIN,WI,Kewaunee,55061,"Kewaunee County, Wisconsin",342.4538863,20360,0,9414,49,8238,192,1703,248,311,74,30098,868,1021,122,3929,13,4455,52,2454,214,482,106,1071,7,143,78,359,109,486,83,118,54,394,94,180,60,8.5,1.2,2.9,0.7,30098.0,868.0,7.1,0.8,19.3,0.1,21.9,0.3,12.1,1.0,5.9,1.3,5.3,0.0,0.7,0.4,3.8,1.2,5.2,0.9,1.4,0.7,4.8,1.1,0.9,0.3,0.1408,0.169,0.3662,0.3099,0.9859,0.1831,0.5634,0.6056,0.3803,0.0563,1.6056,0.2254,0.2113,0.493,0.7043,0.3239,0.4085,0.4789,0.338,0.3099,0.0704,1.6057,0.1972,4.9015,0.1268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,711,135,3.5,0.7,16776
55,WISCONSIN,WI,Door,55029,"Door County, Wisconsin",481.9623953,27439,0,24717,97,13196,326,2236,288,553,143,36155,1722,1293,184,7690,57,4500,89,3777,256,819,180,1627,45,132,84,1323,156,1422,205,140,49,490,169,355,129,8.3,1.1,4.0,1.0,36155.0,1722.0,6.0,0.9,28.0,0.2,16.4,0.3,13.9,0.9,6.2,1.4,5.9,0.2,0.5,0.3,5.4,0.6,5.8,0.8,1.1,0.4,3.7,1.3,1.3,0.5,0.1268,0.6479,0.0704,0.1268,0.9719,0.169,0.9577,0.0423,0.6197,0.1549,1.7746,0.3662,0.3239,0.3099,0.6338,0.2113,0.5634,0.5493,0.169,0.1268,0.2394,1.6479,0.2254,5.0282,0.1408,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1135,217,4.2,0.8,26202
